MONTH;BOROUGH;COMMUNITYDISTRICT;REFUSETONSCOLLECTED;PAPERTONSCOLLECTED;MGPTONSCOLLECTED;RESORGANICSTONS;SCHOOLORGANICTONS;LEAVESORGANICTONS;XMASTREETONS;BOROUGH_ID
2017 / 11;Queens;04;3997.150000000000091;349.78000000000003;394.0;;;5.07;;4
2017 / 10;Queens;11;2691.880000000000109;483.03000000000003;396.53000000000003;236.409999999999997;;;;4
2017 / 09;Bronx;01;1870.630000000000109;105.140000000000001;131.219999999999999;;;;;2
2018 / 08;Queens;06;2951.579999999999927;438.970000000000027;367.110000000000014;;;;;4
2018 / 07;Brooklyn;09;2996.150000000000091;235.52000000000001;214.420000000000016;;;;;3
2017 / 12;Manhattan;12;4748.0600000000004;494.350000000000023;499.460000000000036;;39.07;;;1
2010 / 02;Bronx;04;3928.059999999999945;149.700000000000017;159.330000000000013;;;;;2
2001 / 10;Bronx;06;2228.460000000000036;89.620000000000005;184.509999999999991;;;;;2
2017 / 12;Manhattan;02;1961.710000000000036;462.340000000000032;316.5;;17.080000000000002;;;1
2017 / 10;Bronx;08;2388.950000000000273;321.689999999999998;338.449999999999989;49.219999999999999;;9.82;;2
1996 / 05;Bronx;09;5005.300000000000182;190.97999999999999;267.579999999999984;;;;;2
2018 / 07;Queens;11;2909.079999999999927;480.410000000000025;432.139999999999986;152.890000000000015;;;;4
2018 / 01;Queens;02;2874.0;462.490000000000009;408.300000000000011;63.100000000000001;;;38.0;4
2017 / 10;Queens;06;2822.829999999999927;402.889999999999986;331.490000000000009;;;;;4
2018 / 07;Brooklyn;08;2816.320000000000164;294.509999999999991;290.240000000000009;;;;;3
2017 / 12;Brooklyn;10;2935.7800000000002;589.360000000000014;452.860000000000014;124.13000000000001;;;;3
2004 / 01;Bronx;07;4076.070000000000164;190.310000000000002;;;;;7.8;2
2001 / 06;Queens;10;4424.170000000000073;606.360000000000014;655.529999999999973;;;;;4
2006 / 02;Bronx;08;2163.550000000000182;336.25;234.629999999999995;;;;;2
1995 / 06;Queens;06;3199.900000000000091;348.110000000000014;223.759999999999991;;;;;4
2018 / 01;Staten Island;03;5203.210000000000036;808.990000000000009;705.690000000000055;;28.379999999999999;;96.600000000000009;5
2014 / 06;Manhattan;05;1286.839999999999918;258.220000000000027;144.420000000000016;;;;;1
2018 / 08;Brooklyn;05;5161.949999999999818;280.95999999999998;432.160000000000025;;;;;3
2017 / 10;Manhattan;06;2944.200000000000273;511.079999999999984;377.810000000000002;19.150000000000002;;;;1
2017 / 12;Manhattan;04;2304.75;537.529999999999973;422.54000000000002;;;;;1
2017 / 11;Bronx;11;2956.630000000000109;297.850000000000023;307.650000000000034;162.060000000000002;;64.510000000000005;;2
2017 / 11;Queens;12;6290.690000000000509;474.620000000000005;730.899999999999977;;;155.280000000000001;;4
2007 / 12;Brooklyn;03;4098.970000000000255;259.75;211.069999999999993;;;;;3
2018 / 07;Bronx;08;2436.889999999999873;332.45999999999998;370.900000000000034;54.410000000000004;;;;2
